run_id,scenario_path,scenario_id,episode_index,num_timesteps,train_loss,episode_reward,episode_length,episode_time_sec,episode_train_time_sec,termination_reason,episode_return,goal_progress_ratio,distance_to_goal_region,visual_obstacle_detected,visual_obstacle_pixel_fraction,visual_obstacle_center_fraction,visual_obstacle_nearest_depth,success,collision,wall_collision,out_of_bounds,timeout
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_052.json,train_env_052,51,85179,nan,-2016.046875,453,1116.169575,5.793055899999899,persistent_contact_failure,-2016.0473682957572,0.2349304709730211,5.637672136636104,False,0.0,0.0,2.5,False,True,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_053.json,train_env_053,52,86705,nan,-3339.82373046875,1526,1135.805738,19.63599360000012,persistent_contact_failure,-3339.822597945839,0.7153307916708376,2.1501854780572267,False,0.0,0.0,2.5,False,True,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_054.json,train_env_054,53,88346,nan,-6242.0029296875,1641,1156.842558,21.037101899999925,persistent_contact_failure,-6242.007290055663,0.6833694307571898,2.408784989289934,False,0.0,0.0,2.5,False,True,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_055.json,train_env_055,54,90502,nan,-15326.794921875,2156,1183.818076,26.974930099999938,persistent_contact_failure,-15326.78472065281,0.9608716469186825,0.2911106995823664,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_056.json,train_env_056,55,92534,nan,-10014.5458984375,2032,1210.485754,26.667759100000012,persistent_contact_failure,-10014.545312225462,0.7070712774906068,2.2340388525369224,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_057.json,train_env_057,56,94434,nan,758.1451416015625,1900,1235.443654,24.95875490000003,goal_reached,758.1408645167209,0.9768194061030261,0.17165953327801997,False,0.0,0.0,2.5,True,False,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_058.json,train_env_058,57,96179,nan,2653.412109375,1745,1258.329403,22.88525290000007,goal_reached,2653.415553050694,0.9638313096440878,0.2716170422961879,False,0.0,0.0,2.5,True,False,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_059.json,train_env_059,58,98233,nan,-1880.7171630859375,2054,1284.79425,26.464942699999938,persistent_contact_failure,-1880.7162341621956,0.9386079266280213,0.4685248338128624,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_060.json,train_env_060,59,100279,nan,-13172.0107421875,2046,1311.385901,26.591906999999992,persistent_contact_failure,-13172.007955767982,0.7204087850401547,2.048270024953506,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_061.json,train_env_061,60,102336,nan,-4492.3134765625,2057,1337.796903,26.411271499999884,persistent_contact_failure,-4492.312890008088,0.7470092326440789,1.8454528136641966,False,0.0,0.0,2.5,False,False,True,False,False
